OBJECTID_1,GUID,NUTS1,NUTS1NAME,NUTS2,NUTS2NAME,NUTS3,NUTS3NAME,COUNTY,COUNTYNAME,CSOED,OSIED,EDNAME,SA_PUB2011,SMALL_AREA,GEOGID,AREA,CHANGECODE,ESRI_OID,SHAPE_Length,SHAPE_Area
5986,4c07d11e-0572-851d-e053-ca3ca8c0ca7f,IE,Ireland,IE05,Southern,IE053,South-West,CK,Cork County,18034,47042,Bantry Urban,47042010,47042010,A047042010,0,0,5986,6426.198768,1767645.374
5987,4c07d11e-0573-851d-e053-ca3ca8c0ca7f,IE,Ireland,IE05,Southern,IE053,South-West,CK,Cork County,18034,47042,Bantry Urban,47042011,47042011,A047042011,0,0,5987,8021.775375,2308101.581
5988,4c07d11e-0574-851d-e053-ca3ca8c0ca7f,IE,Ireland,IE05,Southern,IE053,South-West,CK,Cork County,18034,47042,Bantry Urban,47042008,47042008,A047042008,0,0,5988,6599.67299,1392299.153
5989,4c07d11e-0575-851d-e053-ca3ca8c0ca7f,IE,Ireland,IE05,Southern,IE053,South-West,CK,Cork County,18039,47160,Glengarriff,47160002,47160002,A047160002,0,0,5989,9971.568338,2629087.752
5990,4c07d11e-0576-851d-e053-ca3ca8c0ca7f,IE,Ireland,IE05,Southern,IE053,South-West,CK,Cork County,18293,47083,Castlehaven South,47083003,47083003,A047083003,0,0,5990,7423.321256,1766482.385
5991,4c07d11e-0577-851d-e053-ca3ca8c0ca7f,IE,Ireland,IE05,Southern,IE053,South-West,CK,Cork County,18304,47265,Myross,47265004,47265004,A047265004,0,0,5991,6493.990794,1591306.123
5992,4c07d11e-148b-851d-e053-ca3ca8c0ca7f,IE,Ireland,IE05,Southern,IE052,South-East,WD,Waterford City and County,24020,228019,Kilbarry,228019002,228019002,A228019002,0,0,5992,4919.394525,1208203.925
5993,4c07d11e-148c-851d-e053-ca3ca8c0ca7f,IE,Ireland,IE05,Southern,IE052,South-East,WD,Waterford City and County,24016,228016,Gracedieu,228016002,228016002/01,A228016002,0,2,5993,8410.230923,2461793.329
5994,4c07d11e-148d-851d-e053-ca3ca8c0ca7f,IE,Ireland,IE05,Southern,IE052,South-East,KK,Kilkenny,7099,97002,Aglish,97002001,97002001,A097002001,0,0,5994,8111.866554,2494124.613
5995,4c07d11e-148e-851d-e053-ca3ca8c0ca7f,IE,Ireland,IE05,Southern,IE052,South-East,WD,Waterford City and County,24008,228008,Bilberry,228008002,228008002,A228008002,0,0,5995,3376.169938,507040.0157
5996,4c07d11e-148f-851d-e053-ca3ca8c0ca7f,IE,Ireland,IE05,Southern,IE052,South-East,KK,Kilkenny,7099,97002,Aglish,97002004,97002004,A097002004,0,0,5996,10494.63025,5215976.148
5997,4c07d11e-1490-851d-e053-ca3ca8c0ca7f,IE,Ireland,IE05,Southern,IE052,South-East,WD,Waterford City and County,24018,228017,Grange South,228017001,228017001,A228017001,0,0,5997,4647.820377,1484805.189
5998,4c07d11e-1491-851d-e053-ca3ca8c0ca7f,IE,Ireland,IE05,Southern,IE052,South-East,WD,Waterford City and County,24014,228014,Farranshoneen,228014005,228014005,A228014005,0,0,5998,4146.592746,721042.7131
5999,4c07d11e-147e-851d-e053-ca3ca8c0ca7f,IE,Ireland,IE06,Eastern and Midland,IE063,Midlands,OY,Offaly,12015,187040,Ferbane,187040004,187040004,A187040004,0,0,5999,4241.966428,899805.9874
6000,4c07d11e-0936-851d-e053-ca3ca8c0ca7f,IE,Ireland,IE05,Southern,IE053,South-West,CK,Cork County,18104,47320,Whitechurch,47320005,47320005,A047320005,0,0,6000,4168.797405,1019615.922
6001,4c07d11e-0937-851d-e053-ca3ca8c0ca7f,IE,Ireland,IE05,Southern,IE053,South-West,CK,Cork County,18104,47320,Whitechurch,47320006,47320006,A047320006,0,0,6001,6363.216094,2261888.888
6002,4c07d11e-0938-851d-e053-ca3ca8c0ca7f,IE,Ireland,IE05,Southern,IE053,South-West,CK,Cork County,18104,47320,Whitechurch,47320007,47320007,A047320007,0,0,6002,9028.919639,3482040.961
6003,4c07d11e-0939-851d-e053-ca3ca8c0ca7f,IE,Ireland,IE05,Southern,IE053,South-West,CC,Cork City,17043,48043,Mahon B,48043004,48043004,A048043004,0,0,6003,4238.290576,893523.9532
6004,4c07d11e-093a-851d-e053-ca3ca8c0ca7f,IE,Ireland,IE05,Southern,IE053,South-West,CC,Cork City,17065,48065,Tivoli B,48065001,48065001,A048065001,0,0,6004,5922.804041,1334157.368
6005,4c07d11e-093b-851d-e053-ca3ca8c0ca7f,IE,Ireland,IE05,Southern,IE053,South-West,CC,Cork City,17019,48019,Commons,48019004,48019004,A048019004,0,0,6005,4337.216731,949895.2593
6006,4c07d11e-093c-851d-e053-ca3ca8c0ca7f,IE,Ireland,IE05,Southern,IE053,South-West,CK,Cork County,18103,47298,St. Mary's (Part Rural),47298011,47298011,A047298011,0,0,6006,5997.121727,1372800.957
6007,4c07d11e-093d-851d-e053-ca3ca8c0ca7f,IE,Ireland,IE05,Southern,IE053,South-West,CK,Cork County,18101,47277,Rathcooney (Part Rural),47277002,47277002,A047277002,0,0,6007,6593.099993,1953055.422
6008,4c07d11e-093e-851d-e053-ca3ca8c0ca7f,IE,Ireland,IE05,Southern,IE053,South-West,CK,Cork County,18081,47064,Caherlag,047064014/047064016,047064014/047064016,A047064014/047064016,0,0,6008,7782.543448,1913809.091
6009,4c07d11e-093f-851d-e053-ca3ca8c0ca7f,IE,Ireland,IE05,Southern,IE053,South-West,CK,Cork County,18101,47277,Rathcooney (Part Rural),47277006,47277006,A047277006,0,0,6009,5733.266972,1685321.911
6010,4c07d11e-0940-851d-e053-ca3ca8c0ca7f,IE,Ireland,IE05,Southern,IE053,South-West,CK,Cork County,18102,47279,Riverstown,47279016,47279016,A047279016,0,0,6010,6508.747587,1000982.915
6011,4c07d11e-0941-851d-e053-ca3ca8c0ca7f,IE,Ireland,IE05,Southern,IE053,South-West,CK,Cork County,18230,47140,Dromore,47140003,47140003,A047140003,0,0,6011,12016.47289,5550154.98
6012,4c07d11e-0942-851d-e053-ca3ca8c0ca7f,IE,Ireland,IE05,Southern,IE053,South-West,CK,Cork County,18080,47054,Blarney,47054002,47054002,A047054002,0,0,6012,4162.502877,898467.4282
6013,4c07d11e-0943-851d-e053-ca3ca8c0ca7f,IE,Ireland,IE05,Southern,IE053,South-West,CK,Cork County,18080,47054,Blarney,47054001,47054001,A047054001,0,0,6013,10355.89172,4338588.061
6014,4c07d11e-1445-851d-e053-ca3ca8c0ca7f,IE,Ireland,IE04,Northern and Western,IE042,West,GY,Galway County,27059,67179,Maigh Cuilinn,67179002,67179002,A067179002,0,0,6014,5389.923976,1700716.402
6015,4c07d11e-1446-851d-e053-ca3ca8c0ca7f,IE,Ireland,IE04,Northern and Western,IE042,West,GC,Galway City,26016,68016,Renmore,068016001/068016003,068016001/068016003,A068016001/068016003,0,0,6015,3139.954239,189502.9211
6016,4c07d11e-1447-851d-e053-ca3ca8c0ca7f,IE,Ireland,IE04,Northern and Western,IE042,West,GC,Galway City,26012,68012,Murroogh,068012004/068012006,068012004/068012006,A068012004/068012006,0,0,6016,2870.193812,247913.2503
6017,4c07d11e-075e-851d-e053-ca3ca8c0ca7f,IE,Ireland,IE04,Northern and Western,IE041,Border,DL,Donegal,33052,57078,Na Gleannta,057078001/057078004,057078001/057078004,A057078001/057078004,0,0,6017,27439.46665,16735473.06
6018,4c07d11e-075f-851d-e053-ca3ca8c0ca7f,IE,Ireland,IE04,Northern and Western,IE041,Border,DL,Donegal,33052,57078,Na Gleannta,57078003,57078003,A057078003,0,0,6018,12479.53361,6876517.731
